orden,DELITO,ART. CP,TIPO DE PENA,AÑOS PENA,VALORACIÓN ASIGNADA
18,Delitos contra las personas (dolosos) - Homicidio calificado,80,Reclusión o Prisión,Perpetua,1000
233,Delitos contra las personas (dolosos) - Homicidio calificado por el vínculo,80,Reclusión o Prision Perpetua,Perpetua,1000
234,"Delitos contra las personas (dolosos) - Homicidio con ensañamiento, alevosia, insidia",80,Reclusión o Prision Perpetua,Perpetua,1000
235,Delitos contra las personas (dolosos) - Homicidio por precio o promesa remuneratoria,80,Reclusión o Prision Perpetua,Perpetua,1000
237,Delitos contra las personas (dolosos) - Homicidio utilizando medio catastrófico,80,Reclusión o Prision Perpetua,Perpetua,1000
238,Delitos contra las personas (dolosos) - Homicidio premeditado,80,Reclusión o Prision Perpetua,Perpetua,1000
239,"Delitos contra las personas (dolosos) - Homicidio ""criminis causae""",80,Reclusión o Prision Perpetua,Perpetua,1000
240,"Delitos contra las personas (dolosos) - Homicidio por placer, codicia, odio racial o religioso",80,Reclusión o Prision Perpetua,Perpetua,1000
364,"Delitos contra la seguridad de la Nación - Traición agravada - Traición agravada, cuando se procura el sometimiento total o parcial de la Nación o su menoscabo",215 inc 1,Reclusión o Prisión,Perpetua,1000
365,"Delitos contra la seguridad de la Nación - Traición agravada - Traición agravada, cuando el traidor induciere al enemigo a hacer la guerra contra la República",215 inc 2,Reclusión o Prisión,Perpetua,1000
454,Delitos contra la integridad sexual - Abuso sexual - Abuso sexual seguido de muerte,124,Reclusión o Prisión,Perpetua,1000
470,"Delitos contra los poderes públicos y el orden constitucional - Traición a la patria, concesión de poderes tiránicos",227,Reclusión o Prisión,Perpetua,1000
471,Delitos contra los poderes públicos y el orden constitucional - Consentimiento y colaboración en los atentados contra el orden constitucional y la vida democrática,227 bis,Reclusión o Prisión,Perpetua,1000
488,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil),24.584,Prisión,Perpetua,1000
489,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Asesinato,24.584,Prisión,Perpetua,1000
490,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Exterminio,24.584,Prisión,Perpetua,1000
491,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Esclavitud,24.584,Prisión,Perpetua,1000
492,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Deportación o traslado forzoso de población,24.584,Prisión,Perpetua,1000
493,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Encarcelación u otra privación grave de la libertad física,24.584,Prisión,Perpetua,1000
494,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Tortura,24.584,Prisión,Perpetua,1000
495,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Violación,24.584,Prisión,Perpetua,1000
496,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Esclavitud sexual,24.584,Prisión,Perpetua,1000
497,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Prostitución forzada,24.584,Prisión,Perpetua,1000
498,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Embarazo Forzado,24.584,Prisión,Perpetua,1000
499,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Esterilización Forzada,24.584,Prisión,Perpetua,1000
500,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Violencia Sexual,24.584,Prisión,Perpetua,1000
501,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Persecución de un grupo o colectividad con identidad propia,24.584,Prisión,Perpetua,1000
503,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - El crimen de apartheid,art. 142 ter,Prisión,Perpetua,1000
504,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Actos inhumanos contra la integridad física o la salud mental o física,24.584,Prisión,Perpetua,1000
505,Delitos de lesa humanidad (Ataque generalizado o sistemático contra una población civil) - Genocidio,24.584,Prisión,Perpetua,1000
532,Delitos contra las personas (dolosos) - Homicidio calificado - Femicidio,art. 80 inc. 11,Reclusión o Prisión,Perpetua,1000
579,"Delitos contra las personas (dolosos) - Homicidio por abuso de su función o cargo, cuando fuere miembro integrante de la fuerza de seguridad, policiales o del servicio penitenciario",art. 80,Prisión o Reclusión Perpetua ,Perpetua,1000
580,Delitos contra las personas (dolosos) - Homicidio con el propósito de causar sufrimiento a una persona con la que se mantiene o ha mantenido una relación,art. 80,Prisión o Reclusión Perpetua ,Perpetua,1000
630,Delitos contra la libertad - Torturas - Tortura seguida de muerte,art. 144 ter,Prisión o Reclusión Perpetua ,Perpetua,1000
137,Delitos contra la seguridad de la Nación - Traición,214,Reclusión o Prisión,Perpetua,900
20,Delitos contra las personas (dolosos) - Homicidio en estado de emoción violenta calificado,82,Reclusión o Prisión,10a - 25a,850
23,Delitos contra las personas (dolosos) - Homicidio preterintencional calificado,82,Reclusión o Prisión,10a - 25a,850
77,Delitos contra la libertad - Privación ilegal de la libertad por funcionario público,142 bis,Reclusión o Prisión,10a - 25a,850
78,Delitos contra la libertad - Privación ilegal de la libertad por funcionario público calificada,142 ter,Reclusión o Prisión e Inhabilitación Absoluta,10a - 25a,850
98,Delitos contra la propiedad - Secuestro extorsivo calificado,170,Reclusión o Prisión,10a - 25a,850
121,"Delitos contra la seguridad pública - Alteración peligrosa de aguas potables, alimentos o medicinas, seguida de muerte",201 bis,Reclusión o Prisión,10a - 25a,850
271,Delitos contra la libertad - Torturas,144 ter,Reclusión o Prisión,8a - 25a,850
350,Delitos contra la seguridad pública - Piratería - Piratería seguida de muerte,199,Reclusión o Prisión,10a - 25a,850
353,Delitos contra la seguridad pública - Suministro infiel de medicamentos por negligencia (seguida de muerte), 201 bis,Reclusión o Prisión,10a - 25a,850
,Delitos contra la seguridad pública - Suministro infiel de medicamentos por negligencia (lesiones gravisimas), 201 bis,Reclusión o Prisión,3a - 15a,850
